Timestamp,How happy are you?,How many times do you journal each month?,How many days do you exercise per week?,About how many hours do you sleep per night?,Do you have any pets?,How often do you eat fruit? ,How often do you eat vegetables? ,How often do you eat meat?,Do you smoke and/or vape?,What is your relationship status?
1/4/2023 23:01:48,Average,3-5,4-5,5-6,Yes,Often,Sometimes,Daily,No,Single
1/4/2023 23:03:42,Above average,1-2,4-5,7-8,No,Daily,Often,Daily,No,Dating
1/4/2023 23:22:40,Average,0,0,7-8,No,Sometimes,Sometimes,Sometimes,Yes,Single
1/4/2023 23:44:05,Below average,0,1-3,7-8,No,Daily,Daily,Often,Yes,Single
1/4/2023 23:44:27,Average,0,1-3,5-6,Yes,Sometimes,Often,Daily,Yes,Single
1/5/2023 0:13:51,Average,0,4-5,7-8,No,Often,Sometimes,Daily,Yes,Single
1/5/2023 0:29:18,Far above average,1-2,1-3,7-8,No,Daily,Sometimes,Daily,No,It's complicated
1/5/2023 0:34:06,Above average,3-5,4-5,7-8,No,Often,Often,Often,Yes,It's complicated
1/5/2023 7:16:55,Above average,0,6-7,7-8,Yes,Sometimes,Sometimes,Often,No,Single
1/5/2023 11:29:09,Above average,3-5,4-5,5-6,Yes,Often,Often,Often,Yes,Single
1/5/2023 16:08:45,Average,0,1-3,5-6,No,Sometimes,Sometimes,Often,No,Dating
1/5/2023 16:27:15,Average,0,1-3,7-8,Yes,Often,Often,Often,No,Dating
1/5/2023 18:23:57,Average,0,1-3,7-8,No,Sometimes,Sometimes,Daily,No,Single
1/8/2023 0:29:47,Above average,0,1-3,7-8,No,Sometimes,Daily,Never,No,Single
1/8/2023 6:27:19,Average,3-5,1-3,5-6,No,Often,Daily,Never,No,Single
1/8/2023 8:26:12,Above average,6+,1-3,7-8,No,Daily,Daily,Often,No,Dating
1/8/2023 12:20:25,Above average,0,1-3,7-8,No,Often,Daily,Never,No,Single
1/8/2023 15:45:42,Above average,0,1-3,5-6,No,Often,Often,Often,No,Married
1/8/2023 16:10:25,Above average,1-2,1-3,7-8,No,Daily,Often,Daily,No,Married
1/8/2023 16:16:00,Far above average,0,4-5,7-8,Yes,Daily,Often,Often,No,Single
1/8/2023 16:17:12,Above average,0,1-3,7-8,No,Daily,Daily,Daily,No,Single
1/8/2023 16:32:41,Above average,0,4-5,5-6,No,Often,Daily,Often,No,Married
1/8/2023 16:36:27,Above average,0,1-3,7-8,Yes,Often,Daily,Daily,No,Married
1/8/2023 16:54:34,Average,0,4-5,7-8,No,Daily,Daily,Never,No,Single
1/8/2023 17:00:15,Above average,0,1-3,7-8,Yes,Sometimes,Sometimes,Daily,No,Single
1/8/2023 17:20:27,Above average,1-2,1-3,7-8,No,Sometimes,Daily,Often,No,Single
1/8/2023 18:27:38,Far above average,0,1-3,5-6,Yes,Sometimes,Often,Daily,No,Married
1/9/2023 6:07:52,Above average,3-5,1-3,7-8,No,Daily,Daily,Sometimes,No,Dating
1/9/2023 8:25:36,Above average,0,1-3,5-6,Yes,Often,Daily,Daily,No,Dating
1/9/2023 12:00:18,Above average,1-2,1-3,5-6,Yes,Daily,Daily,Often,No,Married
1/9/2023 16:37:45,Above average,1-2,1-3,5-6,No,Sometimes,Daily,Daily,No,Dating
1/9/2023 17:01:35,Above average,0,1-3,5-6,Yes,Sometimes,Often,Daily,No,It's complicated
1/9/2023 20:09:11,Above average,0,6-7,7-8,Yes,Daily,Daily,Daily,No,Married
1/9/2023 20:22:00,Below average,1-2,6-7,7-8,No,Often,Daily,Daily,No,Single
1/9/2023 20:24:56,Average,1-2,1-3,7-8,Yes,Sometimes,Sometimes,Sometimes,No,It's complicated
1/9/2023 21:14:40,Above average,1-2,1-3,5-6,Yes,Often,Often,Daily,No,Single
1/11/2023 16:35:11,Above average,0,6-7,5-6,Yes,Daily,Often,Sometimes,No,Dating
1/11/2023 16:35:43,Average,0,1-3,5-6,Yes,Never,Often,Often,No,Dating
1/11/2023 16:39:54,Average,0,4-5,7-8,No,Daily,Daily,Daily,No,Dating
1/11/2023 16:42:48,Average,0,4-5,7-8,No,Never,Sometimes,Sometimes,No,Dating
1/11/2023 16:48:35,Above average,6+,1-3,5-6,Yes,Daily,Often,Often,No,Dating
1/11/2023 16:53:29,Above average,0,4-5,7-8,Yes,Daily,Daily,Daily,Yes,Single
1/11/2023 17:12:13,Below average,0,0,7-8,No,Sometimes,Sometimes,Daily,No,Single
1/11/2023 17:26:48,Above average,0,1-3,7-8,No,Sometimes,Daily,Daily,Yes,Single
1/11/2023 17:30:12,Above average,0,1-3,7-8,Yes,Sometimes,Sometimes,Daily,No,Single
1/11/2023 17:47:25,Above average,1-2,4-5,7-8,No,Sometimes,Often,Daily,No,Dating
1/11/2023 18:26:54,Below average,0,6-7,5-6,No,Often,Often,Daily,Yes,Single
1/11/2023 18:36:57,Above average,0,1-3,5-6,Yes,Often,Sometimes,Daily,No,Single
1/11/2023 19:13:13,Below average,0,1-3,7-8,No,Often,Often,Often,No,Single
1/11/2023 19:24:59,Above average,0,4-5,5-6,No,Sometimes,Sometimes,Daily,Yes,It's complicated
1/11/2023 19:28:27,Above average,0,1-3,7-8,Yes,Sometimes,Often,Sometimes,No,Dating
1/11/2023 22:47:31,Above average,0,6-7,5-6,Yes,Sometimes,Sometimes,Daily,Yes,Dating
1/12/2023 8:08:40,Above average,0,1-3,7-8,No,Sometimes,Sometimes,Daily,No,Single
1/12/2023 10:18:27,Average,6+,1-3,5-6,No,Often,Sometimes,Sometimes,No,Single
1/12/2023 10:58:55,Average,1-2,1-3,5-6,No,Daily,Often,Daily,No,Single
1/12/2023 12:03:31,Average,1-2,1-3,7-8,No,Often,Often,Daily,No,Dating
1/12/2023 13:16:34,Above average,0,4-5,7-8,Yes,Daily,Often,Daily,No,Engaged
1/12/2023 16:29:31,Above average,6+,6-7,7-8,No,Sometimes,Sometimes,Often,Yes,Single
1/12/2023 22:51:06,Above average,0,6-7,5-6,Yes,Sometimes,Sometimes,Daily,No,Single
1/13/2023 4:02:24,Far below average,3-5,0,2-4,Yes,Sometimes,Sometimes,Often,Yes,Single
1/14/2023 17:03:31,Above average,0,1-3,5-6,Yes,Sometimes,Sometimes,Daily,Yes,It's complicated
1/15/2023 23:54:47,Above average,0,1-3,5-6,Yes,Daily,Daily,Daily,No,Single
1/16/2023 8:42:21,Above average,6+,4-5,5-6,Yes,Often,Daily,Sometimes,No,Married
1/16/2023 8:45:01,Average,0,1-3,5-6,Yes,Often,Often,Often,No,Married
1/16/2023 9:13:16,Average,0,1-3,2-4,Yes,Often,Daily,Often,No,Single
1/16/2023 9:24:49,Average,6+,1-3,7-8,Yes,Daily,Often,Never,No,Married
1/16/2023 10:38:57,Above average,0,0,7-8,Yes,Never,Sometimes,Often,No,Married
1/16/2023 11:12:30,Below average,0,0,9-10,Yes,Sometimes,Sometimes,Sometimes,No,Married
1/16/2023 11:59:26,Average,0,0,5-6,Yes,Sometimes,Sometimes,Sometimes,No,Married
1/16/2023 12:13:00,Average,0,1-3,7-8,No,Often,Often,Daily,Yes,Single
1/16/2023 12:56:08,Far above average,0,4-5,7-8,No,Sometimes,Often,Sometimes,Yes,Married
1/16/2023 13:01:54,Above average,0,4-5,7-8,Yes,Sometimes,Often,Often,No,Married
1/16/2023 13:04:14,Average,0,1-3,7-8,Yes,Sometimes,Often,Often,No,Married
1/16/2023 14:17:09,Above average,1-2,1-3,7-8,No,Often,Often,Often,No,Married
1/16/2023 14:28:23,Average,0,1-3,7-8,Yes,Sometimes,Sometimes,Never,No,Married
1/16/2023 14:35:17,Average,0,1-3,5-6,Yes,Often,Daily,Often,No,Married
1/16/2023 14:49:11,Above average,1-2,4-5,5-6,No,Often,Often,Sometimes,No,Married
1/16/2023 15:18:04,Average,0,0,5-6,Yes,Sometimes,Sometimes,Daily,No,Single
1/16/2023 15:53:47,Above average,0,6-7,7-8,Yes,Often,Daily,Daily,No,Married
1/16/2023 15:58:22,Above average,0,4-5,7-8,No,Daily,Daily,Daily,No,Single
1/16/2023 15:59:37,Below average,0,0,7-8,Yes,Often,Sometimes,Daily,Yes,Single
1/16/2023 16:01:11,Far below average,1-2,1-3,7-8,Yes,Daily,Daily,Often,Yes,Single
1/16/2023 16:05:14,Below average,6+,1-3,7-8,Yes,Often,Sometimes,Often,Yes,Single
1/16/2023 16:06:11,Average,0,4-5,7-8,Yes,Sometimes,Sometimes,Often,No,Single
1/16/2023 16:08:06,Below average,0,6-7,7-8,Yes,Sometimes,Sometimes,Often,Yes,Single
1/16/2023 16:08:55,Above average,0,1-3,7-8,No,Sometimes,Sometimes,Daily,No,Dating
1/16/2023 16:10:40,Average,0,6-7,5-6,No,Sometimes,Daily,Daily,Yes,Dating
1/16/2023 16:16:38,Above average,0,4-5,5-6,Yes,Often,Often,Often,No,Single
1/16/2023 16:16:38,Above average,1-2,4-5,5-6,No,Daily,Often,Often,No,Dating
1/16/2023 16:16:55,Average,1-2,4-5,7-8,Yes,Sometimes,Sometimes,Daily,No,It's complicated
1/16/2023 16:17:38,Above average,6+,4-5,7-8,No,Daily,Daily,Never,No,Dating
1/16/2023 16:18:04,Average,0,1-3,7-8,Yes,Sometimes,Often,Daily,No,Married
1/16/2023 16:20:01,Average,0,1-3,5-6,Yes,Often,Often,Often,No,Married
1/16/2023 16:20:28,Average,1-2,0,9-10,Yes,Often,Often,Sometimes,Yes,Dating
1/16/2023 16:21:06,Below average,0,1-3,5-6,No,Sometimes,Sometimes,Often,Yes,Single
1/16/2023 16:21:55,Far above average,1-2,1-3,5-6,Yes,Often,Often,Daily,No,Dating
1/16/2023 16:22:56,Average,1-2,4-5,7-8,No,Daily,Often,Sometimes,No,Single
1/16/2023 16:24:07,Average,0,1-3,7-8,Yes,Sometimes,Often,Daily,No,Single
1/16/2023 16:29:38,Above average,6+,1-3,7-8,No,Daily,Often,Daily,No,Single
1/16/2023 16:33:09,Average,1-2,4-5,5-6,Yes,Often,Often,Daily,No,It's complicated
1/16/2023 16:33:32,Below average,0,6-7,9-10,No,Sometimes,Sometimes,Daily,No,Single
1/16/2023 16:38:59,Average,0,1-3,7-8,Yes,Often,Often,Never,No,Dating
1/16/2023 16:47:27,Average,0,6-7,7-8,Yes,Often,Daily,Often,No,Single
1/16/2023 16:48:33,Average,0,4-5,5-6,Yes,Sometimes,Often,Daily,No,Married
1/16/2023 16:50:18,Below average,1-2,4-5,7-8,Yes,Daily,Daily,Sometimes,No,Dating
1/16/2023 16:50:28,Above average,0,4-5,7-8,Yes,Daily,Daily,Sometimes,No,Married
1/16/2023 16:59:30,Above average,0,4-5,5-6,Yes,Daily,Daily,Often,Yes,Single
1/16/2023 17:02:50,Above average,0,0,7-8,Yes,Daily,Daily,Often,No,Married
1/16/2023 17:05:03,Average,3-5,6-7,7-8,No,Often,Often,Daily,No,Single
1/16/2023 17:08:39,Average,0,6-7,7-8,No,Sometimes,Often,Daily,No,Single
1/16/2023 17:09:25,Above average,0,4-5,7-8,Yes,Often,Daily,Often,No,Married
1/16/2023 17:21:51,Average,0,6-7,7-8,Yes,Often,Daily,Often,No,Married
1/16/2023 17:21:56,Above average,0,0,7-8,No,Sometimes,Sometimes,Never,No,Dating
1/16/2023 17:24:00,Average,0,1-3,7-8,Yes,Sometimes,Daily,Sometimes,Yes,Single
1/16/2023 17:24:54,Average,0,1-3,5-6,Yes,Daily,Daily,Sometimes,No,Dating
1/16/2023 17:24:54,Average,0,1-3,7-8,Yes,Sometimes,Often,Often,Yes,Dating
1/16/2023 17:35:27,Above average,0,0,5-6,No,Often,Often,Often,No,Married
1/16/2023 17:58:00,Average,0,1-3,5-6,Yes,Daily,Daily,Often,No,Married
1/16/2023 18:02:39,Above average,0,6-7,7-8,Yes,Often,Often,Often,Yes,It's complicated
1/16/2023 18:07:39,Above average,0,1-3,7-8,No,Sometimes,Often,Often,No,Dating
1/16/2023 18:08:42,Above average,0,4-5,7-8,Yes,Sometimes,Sometimes,Daily,No,Single
1/16/2023 18:22:03,Above average,0,1-3,7-8,No,Often,Daily,Daily,No,Married
1/16/2023 18:43:48,Above average,0,0,7-8,No,Often,Often,Sometimes,Yes,Married
1/16/2023 18:43:50,Below average,0,0,7-8,Yes,Sometimes,Never,Sometimes,No,Single
1/16/2023 18:48:31,Above average,0,6-7,5-6,Yes,Daily,Daily,Often,No,Married
1/16/2023 18:50:31,Above average,0,4-5,9-10,Yes,Daily,Daily,Daily,No,Married
1/16/2023 18:59:22,Average,3-5,6-7,7-8,Yes,Often,Often,Daily,No,Single
1/16/2023 19:26:26,Below average,0,0,5-6,No,Sometimes,Sometimes,Often,Yes,Dating
1/16/2023 19:31:42,Average,0,4-5,7-8,Yes,Sometimes,Often,Often,No,Married
1/16/2023 19:32:31,Above average,0,0,5-6,Yes,Sometimes,Sometimes,Sometimes,No,Married
1/16/2023 19:37:34,Above average,0,1-3,7-8,Yes,Daily,Daily,Daily,No,It's complicated
1/16/2023 19:38:07,Above average,0,4-5,7-8,Yes,Never,Sometimes,Often,No,Married
1/16/2023 19:38:51,Above average,0,1-3,5-6,Yes,Sometimes,Daily,Daily,No,Married
1/16/2023 19:39:40,Above average,0,1-3,7-8,Yes,Sometimes,Sometimes,Often,No,Married
1/16/2023 19:39:58,Above average,0,1-3,7-8,No,Often,Often,Often,No,Married
1/16/2023 19:40:39,Far above average,0,1-3,5-6,Yes,Daily,Daily,Never,No,Married
1/16/2023 19:41:50,Average,0,1-3,7-8,Yes,Often,Often,Daily,No,Married
1/16/2023 19:42:06,Above average,0,4-5,5-6,No,Often,Often,Sometimes,No,It's complicated
1/16/2023 19:43:10,Average,0,0,7-8,Yes,Sometimes,Often,Daily,Yes,Dating
1/16/2023 19:45:36,Above average,3-5,4-5,7-8,No,Often,Daily,Daily,No,Married
1/16/2023 19:45:41,Far above average,0,4-5,7-8,No,Sometimes,Sometimes,Often,No,Dating
1/16/2023 19:48:03,Above average,0,1-3,7-8,No,Sometimes,Often,Often,No,Single
1/16/2023 19:50:39,Below average,6+,0,5-6,Yes,Sometimes,Daily,Daily,No,Married
1/16/2023 19:51:41,Average,3-5,1-3,5-6,Yes,Sometimes,Sometimes,Often,No,Single
1/16/2023 19:51:46,Above average,0,0,7-8,Yes,Sometimes,Sometimes,Daily,No,Married
1/16/2023 19:52:00,Average,0,4-5,7-8,Yes,Daily,Daily,Daily,No,Married
1/16/2023 19:52:55,Above average,0,0,5-6,Yes,Often,Often,Often,No,Married
1/16/2023 19:54:45,Above average,0,1-3,5-6,No,Sometimes,Sometimes,Often,No,Single
1/16/2023 19:55:24,Average,0,0,7-8,Yes,Often,Daily,Daily,No,Married
1/16/2023 19:59:52,Above average,1-2,1-3,7-8,Yes,Sometimes,Sometimes,Sometimes,No,Married
1/16/2023 20:02:02,Average,0,0,7-8,Yes,Often,Sometimes,Sometimes,Yes,Dating
1/16/2023 20:02:12,Above average,0,4-5,7-8,No,Often,Daily,Daily,No,Married
1/16/2023 20:03:12,Average,0,1-3,5-6,Yes,Sometimes,Daily,Often,No,Married
1/16/2023 20:06:54,Above average,0,4-5,5-6,No,Sometimes,Sometimes,Daily,No,Married
1/16/2023 20:09:09,Average,0,0,7-8,Yes,Sometimes,Never,Often,No,Single
1/16/2023 20:09:32,Above average,1-2,6-7,7-8,Yes,Often,Daily,Daily,No,Married
1/16/2023 20:10:32,Above average,0,4-5,7-8,Yes,Daily,Often,Often,No,Married
1/16/2023 20:12:51,Above average,0,6-7,7-8,No,Often,Daily,Daily,No,Married
1/16/2023 20:15:22,Above average,0,4-5,7-8,Yes,Sometimes,Sometimes,Sometimes,No,Married
1/16/2023 20:16:13,Above average,0,4-5,7-8,No,Often,Daily,Daily,No,Married
1/16/2023 20:16:47,Average,0,0,7-8,Yes,Sometimes,Sometimes,Often,No,Married
1/16/2023 20:19:24,Far below average,0,0,5-6,No,Daily,Often,Often,No,Single
1/16/2023 20:19:28,Far above average,0,4-5,5-6,No,Sometimes,Daily,Daily,Yes,Dating
1/16/2023 20:20:44,Above average,3-5,4-5,7-8,Yes,Often,Daily,Often,No,Married
1/16/2023 20:22:48,Above average,0,4-5,7-8,No,Often,Often,Sometimes,No,Married
1/16/2023 20:25:00,Above average,0,0,7-8,Yes,Often,Daily,Often,No,Married
1/16/2023 20:26:19,Above average,0,0,5-6,No,Often,Daily,Daily,No,Married
1/16/2023 20:29:41,Average,0,0,7-8,No,Often,Sometimes,Often,No,Dating
1/16/2023 20:37:22,Above average,0,6-7,7-8,Yes,Daily,Daily,Daily,No,Married
1/16/2023 20:38:06,Above average,1-2,1-3,5-6,Yes,Often,Often,Daily,Yes,Single
1/16/2023 20:44:44,Above average,3-5,1-3,7-8,Yes,Sometimes,Daily,Sometimes,No,Married
1/16/2023 20:44:45,Above average,1-2,1-3,5-6,Yes,Often,Daily,Daily,No,It's complicated
1/16/2023 20:46:33,Average,0,1-3,7-8,No,Daily,Often,Sometimes,No,Single
1/16/2023 20:48:30,Above average,0,1-3,7-8,Yes,Sometimes,Sometimes,Often,No,Married
1/16/2023 20:49:35,Average,0,0,7-8,Yes,Often,Often,Often,No,Single
1/16/2023 20:51:16,Above average,0,1-3,7-8,Yes,Daily,Daily,Daily,No,Married
1/16/2023 20:55:22,Above average,0,6-7,7-8,Yes,Daily,Daily,Daily,No,Married
1/16/2023 20:55:41,Average,3-5,0,5-6,No,Daily,Often,Sometimes,No,Single
1/16/2023 20:56:06,Above average,1-2,1-3,7-8,Yes,Sometimes,Often,Often,No,Married
1/16/2023 21:00:06,Above average,0,1-3,9-10,Yes,Often,Daily,Often,No,Married
1/16/2023 21:00:15,Average,0,6-7,7-8,Yes,Sometimes,Sometimes,Daily,No,Married
1/16/2023 21:02:30,Above average,0,4-5,5-6,No,Often,Often,Often,No,Married
1/16/2023 21:14:18,Above average,1-2,1-3,7-8,Yes,Daily,Daily,Sometimes,No,Married
1/16/2023 21:15:36,Above average,1-2,1-3,5-6,Yes,Sometimes,Daily,Daily,No,It's complicated
1/16/2023 21:17:44,Far above average,6+,4-5,7-8,Yes,Often,Daily,Sometimes,No,Married
1/16/2023 21:19:16,Above average,0,1-3,5-6,Yes,Sometimes,Often,Often,No,Married
1/16/2023 21:23:51,Average,0,1-3,7-8,No,Daily,Daily,Daily,No,Married
1/16/2023 21:38:16,Above average,0,1-3,5-6,Yes,Sometimes,Often,Daily,No,Engaged
1/16/2023 21:40:53,Above average,1-2,1-3,5-6,Yes,Sometimes,Daily,Daily,No,Married
1/16/2023 21:45:49,Average,0,1-3,5-6,Yes,Daily,Daily,Often,No,Married
1/16/2023 21:47:17,Above average,0,0,5-6,Yes,Sometimes,Often,Often,No,Married
1/16/2023 21:49:22,Above average,6+,4-5,7-8,Yes,Daily,Daily,Often,No,Married
1/16/2023 21:50:05,Far above average,0,6-7,7-8,No,Daily,Daily,Daily,No,Married
1/16/2023 21:50:34,Above average,0,0,7-8,Yes,Sometimes,Sometimes,Often,No,Married
1/16/2023 21:53:37,Above average,0,4-5,7-8,Yes,Daily,Daily,Daily,No,Married
1/16/2023 22:00:36,Average,1-2,1-3,2-4,Yes,Often,Often,Never,Yes,Dating
1/16/2023 22:03:03,Above average,0,1-3,7-8,Yes,Sometimes,Daily,Daily,No,Married
1/16/2023 22:03:30,Above average,0,1-3,5-6,Yes,Often,Sometimes,Often,Yes,It's complicated
1/16/2023 22:10:20,Below average,1-2,0,5-6,Yes,Sometimes,Often,Often,Yes,Single
1/16/2023 22:13:57,Far above average,0,4-5,7-8,Yes,Never,Daily,Daily,No,Married
1/16/2023 22:38:38,Above average,1-2,4-5,5-6,Yes,Sometimes,Sometimes,Sometimes,No,Married
1/16/2023 22:40:18,Above average,0,4-5,5-6,Yes,Often,Daily,Daily,No,Married
1/16/2023 22:53:46,Average,0,4-5,7-8,No,Sometimes,Sometimes,Daily,No,Single
1/16/2023 22:54:44,Below average,0,0,9-10,Yes,Often,Sometimes,Daily,Yes,Single
1/16/2023 22:56:03,Above average,0,1-3,7-8,Yes,Daily,Daily,Daily,No,Married
1/16/2023 22:57:01,Above average,1-2,1-3,7-8,Yes,Sometimes,Often,Often,Yes,Married
1/16/2023 23:03:45,Average,1-2,1-3,7-8,No,Often,Often,Often,No,Dating
1/16/2023 23:06:52,Average,0,0,5-6,Yes,Daily,Daily,Daily,Yes,Dating
1/16/2023 23:13:29,Average,0,1-3,7-8,Yes,Sometimes,Sometimes,Daily,No,Married
1/16/2023 23:48:38,Average,3-5,4-5,5-6,Yes,Often,Daily,Often,No,Single
1/16/2023 23:59:21,Average,0,0,7-8,Yes,Sometimes,Sometimes,Sometimes,No,Dating
1/17/2023 0:30:03,Far above average,1-2,1-3,9-10,No,Sometimes,Often,Daily,Yes,Single
1/17/2023 0:37:49,Below average,0,1-3,5-6,No,Sometimes,Often,Daily,Yes,Single
1/17/2023 1:03:53,Average,3-5,4-5,7-8,No,Often,Often,Often,No,Single
1/17/2023 2:09:47,Average,0,0,5-6,No,Sometimes,Never,Often,Yes,It's complicated
1/17/2023 2:50:02,Average,0,4-5,5-6,Yes,Sometimes,Sometimes,Daily,No,Single
1/17/2023 6:00:14,Average,0,1-3,5-6,No,Sometimes,Daily,Daily,No,Dating
1/17/2023 6:24:01,Above average,1-2,1-3,5-6,No,Sometimes,Often,Often,No,Married
1/17/2023 6:44:05,Far below average,0,1-3,7-8,No,Sometimes,Sometimes,Often,Yes,Single
1/17/2023 6:50:18,Far above average,1-2,1-3,7-8,Yes,Often,Daily,Never,No,Married
1/17/2023 6:55:27,Above average,0,4-5,7-8,Yes,Daily,Daily,Often,No,Married
1/17/2023 7:26:03,Above average,0,1-3,7-8,No,Sometimes,Sometimes,Often,No,Married
1/17/2023 7:29:38,Average,0,1-3,5-6,Yes,Sometimes,Often,Daily,No,Married
1/17/2023 7:30:11,Average,0,4-5,7-8,No,Sometimes,Daily,Daily,No,Married
1/17/2023 7:31:45,Above average,1-2,1-3,5-6,Yes,Often,Often,Often,No,Married
1/17/2023 7:43:41,Average,1-2,6-7,7-8,Yes,Often,Daily,Daily,Yes,Single
1/17/2023 7:45:40,Average,1-2,1-3,5-6,Yes,Sometimes,Sometimes,Daily,Yes,Married
1/17/2023 7:59:29,Above average,0,4-5,9-10,No,Sometimes,Daily,Daily,No,Dating
1/17/2023 8:22:32,Far below average,6+,4-5,2-4,Yes,Sometimes,Sometimes,Daily,Yes,Single
1/17/2023 8:31:00,Above average,0,1-3,7-8,Yes,Sometimes,Often,Daily,No,Married
1/17/2023 8:44:00,Above average,1-2,1-3,7-8,Yes,Sometimes,Often,Daily,No,Dating
1/17/2023 9:25:46,Above average,1-2,0,7-8,Yes,Often,Often,Often,No,Single
1/17/2023 9:37:52,Average,1-2,0,5-6,Yes,Often,Often,Often,Yes,Single
1/17/2023 9:43:24,Below average,0,0,2-4,Yes,Often,Often,Often,No,Single
1/17/2023 9:52:21,Above average,0,1-3,5-6,No,Sometimes,Sometimes,Often,Yes,Dating
1/17/2023 10:06:54,Average,0,0,5-6,No,Sometimes,Often,Daily,No,Married
1/17/2023 10:09:05,Average,0,0,7-8,Yes,Often,Daily,Daily,No,Married
1/17/2023 10:44:24,Above average,0,6-7,5-6,No,Often,Never,Often,Yes,Single
1/17/2023 11:56:00,Average,1-2,1-3,9-10,Yes,Sometimes,Often,Daily,No,Dating
1/17/2023 12:13:35,Above average,0,1-3,7-8,Yes,Sometimes,Often,Often,No,Single
1/17/2023 12:57:14,Average,0,0,7-8,Yes,Sometimes,Daily,Daily,Yes,Dating
1/17/2023 13:14:29,Far below average,0,4-5,7-8,Yes,Daily,Daily,Daily,No,Dating
1/17/2023 13:34:07,Above average,3-5,1-3,7-8,No,Sometimes,Often,Sometimes,No,Married
1/17/2023 13:49:37,Below average,0,1-3,7-8,No,Sometimes,Often,Often,Yes,Single
1/17/2023 14:36:10,Above average,1-2,1-3,7-8,No,Daily,Daily,Often,No,Married
1/17/2023 15:11:06,Above average,0,1-3,7-8,No,Sometimes,Often,Often,No,Dating
1/17/2023 15:52:21,Average,0,1-3,5-6,Yes,Sometimes,Daily,Often,No,Married
1/17/2023 16:14:27,Average,0,0,5-6,Yes,Daily,Daily,Often,No,Dating
1/17/2023 17:37:39,Above average,0,0,7-8,Yes,Often,Often,Often,Yes,Married
1/17/2023 18:21:14,Above average,0,1-3,7-8,No,Sometimes,Sometimes,Daily,No,Married
1/17/2023 19:45:39,Far above average,0,1-3,5-6,Yes,Daily,Daily,Sometimes,No,It's complicated
1/17/2023 20:08:54,Above average,0,1-3,9-10,No,Daily,Often,Daily,No,Married
1/17/2023 21:19:32,Above average,0,4-5,7-8,Yes,Sometimes,Daily,Often,No,Single
1/17/2023 21:36:56,Above average,0,0,5-6,Yes,Sometimes,Often,Often,No,Married
1/17/2023 21:57:06,Average,0,1-3,5-6,Yes,Sometimes,Sometimes,Daily,No,Married
1/18/2023 6:11:53,Above average,0,1-3,7-8,Yes,Sometimes,Sometimes,Often,No,Married
1/18/2023 15:54:06,Average,1-2,1-3,7-8,No,Often,Often,Sometimes,No,Married
1/18/2023 20:47:41,Far above average,0,4-5,5-6,Yes,Daily,Daily,Daily,No,Married